"Contrat","Salaire base mensuel","Augmentation","Promotion","Sexe","Ancienneté_an","Service","Âge","rank"
"CDI","6424 - 8212",1,1,"F","11-16","Marketing",,1
"CDI","4636 - 6424",0,1,"F","11-16","Commercial",,2
"CDI","8212 - 10000",1,1,"F","11-16","RH",,3
"CDI","8212 - 10000",1,0,"F","06-11","Compta Finances",,4
"CDI","6424 - 8212",1,0,"F","06-11","Consultant",,5
"CDI","6424 - 8212",1,0,"F","06-11","RH",,6
"CDI","1059 - 2848",1,0,"H","11-16","Commercial",,7
"CDI","8212 - 10000",0,1,"F","06-11","Consultant",,8
"CDI","6424 - 8212",1,0,"F","16-21","Commercial",,9
"CDI","4636 - 6424",1,1,"F","21-25","Commercial",,10
"CDI","8212 - 10000",1,0,"F","21-25","Consultant",,11
"CDI","2848 - 4636",1,1,"F","06-11","RH",,12
"CDI","4636 - 6424",1,1,"F","21-25","Commercial",,13
"CDI","4636 - 6424",0,1,"F","16-21","RH",,14
"CDI","1059 - 2848",1,0,"H","16-21","Compta Finances",,15
"CDI","6424 - 8212",1,1,"H","21-25","Marketing",,16
"CDI","1059 - 2848",1,1,"H","11-16","Consultant",,17
"CDI","6424 - 8212",1,0,"H","11-16","Compta Finances",,18
"CDD","1059 - 2848",1,1,"F","00-06","Compta Finances",,19
"CDI","8212 - 10000",1,1,"F","06-11","Consultant",,20
"CDI","2848 - 4636",0,0,"F","06-11","Consultant",,21
"CDI","2848 - 4636",0,1,"F","16-21","RH",,22
"CDI","6424 - 8212",1,1,"H","06-11","Marketing",,23
"CDD","1059 - 2848",1,1,"F","00-06","Consultant",,24
"CDI","6424 - 8212",1,1,"F","06-11","RH",,25
"CDI","8212 - 10000",0,1,"F","00-06","RH",,26
"CDI","4636 - 6424",1,1,"H","16-21","Compta Finances",,27
"CDI","2848 - 4636",1,1,"H","06-11","Compta Finances",,28
"CDI","6424 - 8212",0,1,"F","16-21","Compta Finances",,29
"CDI","4636 - 6424",0,0,"H","11-16","Commercial",,30
"CDI","8212 - 10000",1,1,"F","11-16","Commercial",,31
"CDI","8212 - 10000",1,0,"H","11-16","Marketing",,32
"CDI","4636 - 6424",1,0,"H","16-21","Commercial",,33
"CDI","4636 - 6424",1,1,"F","21-25","Consultant",,34
"CDI","6424 - 8212",0,0,"F","00-06","Commercial",,35
"CDI","4636 - 6424",1,0,"F","00-06","Commercial",,36
"CDI","1059 - 2848",1,0,"H","06-11","Consultant",,37
"CDI","4636 - 6424",1,0,"F","11-16","Compta Finances",,38
"CDI","2848 - 4636",1,1,"F","16-21","RH",,39
"CDI","6424 - 8212",0,0,"H","00-06","R&D",,40
"CDI","6424 - 8212",1,1,"F","11-16","Compta Finances",,41
"CDI","1059 - 2848",1,0,"H","00-06","Consultant",,42
"CDI","1059 - 2848",1,1,"F","16-21","RH",,43
"CDI","1059 - 2848",0,0,"H","16-21","Consultant",,44
"CDI","4636 - 6424",1,0,"H","16-21","Commercial",,45
"CDI","2848 - 4636",1,1,"H","21-25","Consultant",,46
"CDI","4636 - 6424",1,1,"H","16-21","Consultant",,47
"CDI","2848 - 4636",1,1,"H","21-25","Consultant",,48
"CDI","4636 - 6424",1,0,"H","06-11","Consultant",,49
"CDI","1059 - 2848",1,0,"H","11-16","Consultant",,50
"CDI","6424 - 8212",0,1,"H","16-21","Consultant",,51
"CDI","2848 - 4636",0,1,"F","06-11","Compta Finances",,52
"CDI","2848 - 4636",1,1,"F","21-25","Compta Finances",,53
"CDI","8212 - 10000",1,0,"H","06-11","RH",,54
"CDI","8212 - 10000",0,0,"H","16-21","RH",,55
"CDI","1059 - 2848",0,0,"F","06-11","Commercial",,56
"CDI","8212 - 10000",0,0,"F","06-11","Marketing",,57
"CDI","2848 - 4636",0,0,"H","06-11","Consultant",,58
"CDI","8212 - 10000",1,0,"F","11-16","Compta Finances",,59
"CDI","4636 - 6424",0,0,"H","00-06","R&D",,60
"CDI","1059 - 2848",0,1,"F","11-16","Marketing",,61
"CDI","4636 - 6424",0,0,"F","00-06","RH",,62
"CDI","6424 - 8212",1,1,"H","00-06","Compta Finances",,63
"CDI","8212 - 10000",1,0,"H","06-11","R&D",,64
"CDI","6424 - 8212",0,0,"H","11-16","Marketing",,65
"CDI","1059 - 2848",0,1,"F","06-11","Consultant",,66
"CDI","1059 - 2848",1,0,"F","00-06","Consultant",,67
"CDI","4636 - 6424",1,0,"F","06-11","Consultant",,68
"CDD","1059 - 2848",1,1,"H","00-06","Consultant",,69
"CDI","2848 - 4636",0,1,"H","16-21","Marketing",,70
"CDI","8212 - 10000",1,1,"H","11-16","Commercial",,71
"CDI","2848 - 4636",1,1,"F","06-11","Compta Finances",,72
"CDI","6424 - 8212",0,0,"F","16-21","RH",,73
"CDI","2848 - 4636",0,1,"H","21-25","R&D",,74
"CDI","6424 - 8212",1,0,"H","11-16","Commercial",,75
